Issue ID,Commit Link,Title
HBASE-21126,https://github.com/apache/hbase/commit/5cca61c4d0e7f1cf03fb7a80c7611bde4a49214b,Configurable number of allowed failures for ZooKeeper
HBASE-18023,https://github.com/apache/hbase/commit/5cd7f630c21c32b183ec23adcfcd16595d7e72a3,Update row threshold warning from 1k to 5k (addendum)
HBASE-21034,https://github.com/apache/hbase/commit/5ded2944199f27440a46df6f200ff2a31c1b8728,Add new throttle type: read/write capacity
HBASE-15482,https://github.com/apache/hbase/commit/5e7d16a3ceaeec5057474f9bae2d40d306f6dd8e,Provide an param to skip calculating block locations for SnapshotInputFormat
HBASE-17972,https://github.com/apache/hbase/commit/5ff04c5e7fdf12946a3f0ae15ed7e83209f0e617,Remove mergePool from CompactSplitThread
HBASE-20576,https://github.com/apache/hbase/commit/603110719d9d26705e782ba048db713b18cb076a,Check remote WAL directory when creating peer and transiting peer to A
HBASE-20273,https://github.com/apache/hbase/commit/621e2b5f5ee82871ffc344a53c1dc08442cd0cd8,Additional removed/changed configs
HBASE-19258,https://github.com/apache/hbase/commit/64ef12080899dad4ab60652a76c68fb59ded04f2,IntegrationTest for Backup and Restore
HBASE-19418,https://github.com/apache/hbase/commit/668a17988222e7657ff21f945b6dd023bda4276c,configurable range of delay in PeriodicMemstoreFlusher
HBASE-20193,https://github.com/apache/hbase/commit/66ad9fdef8e8bff3ed2b77cd8865f724b345bd18,Basic Replication Web UI
HBASE-18870,https://github.com/apache/hbase/commit/6712f8f632e6ece032ee45f679db9a42a69f805f,Hbase Backup should set the details to MR job name
HBASE-16060,https://github.com/apache/hbase/commit/67b69fb2c70d3a56ac45f59d57b7f2778094a566,1.x clients cannot access table state talking to 2.0 cluster
HBASE-21568,https://github.com/apache/hbase/commit/67d6d5084cf8fc094cda4bd3f091d8a0a9cb1d3e,Use CacheConfig.DISABLED where we don't expect to have blockcache running
HBASE-18329,https://github.com/apache/hbase/commit/68436c9bbaefa78704b30315713de94dd991fda1,updated links in config guide to point to java 8 references
HBASE-22292,https://github.com/apache/hbase/commit/6855143ba90ada2e731ff82dfcc5d250e1f8329a,PreemptiveFastFailInterceptor clean repeatedFailuresMap issue
HBASE-22598,https://github.com/apache/hbase/commit/686847cb79038d2fe91aee277f3827fbe5341b49,Deprecated the hbase.ipc.server.reservoir.initial.buffer.size & hbase.ipc.server.reservoir.initial.max for HBase2.x compatibility
HBASE-21926,https://github.com/apache/hbase/commit/6cd78e899fd37393eaa9f142facbee2d9a052dba,Profiler servlet
HBASE-17825,https://github.com/apache/hbase/commit/6cfa208add6ea424e17cae00114ebd3e7d7967f1,Backup further optimizations
HBASE-20499,https://github.com/apache/hbase/commit/6d080762ef795adf02dd0ab236c4b3eb73e19a91,Replication/Priority executors can use specific max queue length as default value instead of general maxQueueLength
HBASE-21000,https://github.com/apache/hbase/commit/6d08ffcfc6e646751b35b111389403329b121c89,Default limits for PressureAwareCompactionThroughputController are too low
HBASE-21639,https://github.com/apache/hbase/commit/6da0b4ec34727240e433825382cfc30366340097,maxHeapUsage value not read properly from config during EntryBuffers initialization
HBASE-15982,https://github.com/apache/hbase/commit/6e7baa07f0b1f5841379545acaf23d36f50de2c2,Interface ReplicationEndpoint extends Guava's Service
HBASE-21857,https://github.com/apache/hbase/commit/6f16836c20802ff50ed3b0ab4bc4f1bfa791465e,Do not need to check clusterKey if replicationEndpoint is provided when adding a peer
HBASE-21867,https://github.com/apache/hbase/commit/72df52283b6c1b60252f6d78ade32a23a59197d5,Support multi-threads in HFileArchiver
HBASE-21247,https://github.com/apache/hbase/commit/7395ffac447bdb159b5c9a2bc65f95af0eea11fe,Custom WAL Provider cannot be specified by configuration whose value is outside the enums in Providers
HBASE-19806,https://github.com/apache/hbase/commit/7573e07cc69d6da672512d6fb01926275dc27971,Lower max versions for table column family of hbase:meta
HBASE-18375,https://github.com/apache/hbase/commit/75a6b36849c58d6a751f57226ab0c8f7884a9e87,"Fix the bug where the pool chunks from ChunkCreator are deallocated and not returned to pool, because there is no reference to them"
HBASE-21159,https://github.com/apache/hbase/commit/77db1fae090bc20de62d8a86e9816c69dfb97b7a,Add shell command to switch throttle on or off
HBASE-21492,https://github.com/apache/hbase/commit/7877e09b6023c80e8bacd25fb8e0b9273ed7d258,CellCodec Written To WAL Before It's Verified
HBASE-18750,https://github.com/apache/hbase/commit/78d9b7ffad2760f1a31434b47b02bdc355b5aebf,"Cleanup the docs saying ""HTable use write buffer"""
